,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,Level1_N,Level1_%,Level2_N,Level2_%,Level3_N,Level3_%,Level4_N,Level4_%,Level3+4_N,Level3+4_%
6235,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,7,2015,All Students,89,304,22,24.7,44,49.4,18,20.2,5,5.6,23,25.8
6236,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,7,2016,All Students,86,297,37,43.0,32,37.2,11,12.8,6,7.0,17,19.8
6237,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,7,2017,All Students,89,301,31,34.8,29,32.6,25,28.1,4,4.5,29,32.6
6238,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,8,2013,All Students,102,298,31,30.4,49,48.0,18,17.6,4,3.9,22,21.6
6239,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,8,2014,All Students,53,284,25,47.2,26,49.1,2,3.8,0,0.0,2,3.8
6240,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,8,2015,All Students,50,283,22,44.0,24,48.0,4,8.0,0,0.0,4,8.0
6241,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,8,2016,All Students,57,286,24,42.1,29,50.9,3,5.3,1,1.8,4,7.0
6242,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,All Grades,2013,All Students,524,297,177,33.8,238,45.4,86,16.4,23,4.4,109,20.8
6243,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,All Grades,2014,All Students,521,299,160,30.7,236,45.3,92,17.7,33,6.3,125,24.0
6244,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,All Grades,2015,All Students,545,298,163,29.9,249,45.7,93,17.1,40,7.3,133,24.4
6245,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,All Grades,2016,All Students,569,294,206,36.2,231,40.6,93,16.3,39,6.9,132,23.2
6246,09X218,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,All Grades,2017,All Students,514,293,208,40.5,159,30.9,110,21.4,37,7.2,147,28.6
6247,09X219,IS 219 NEW VENTURE SCHOOL,6,2013,All Students,110,271,76,69.1,27,24.5,6,5.5,1,0.9,7,6.4
6248,09X219,IS 219 NEW VENTURE SCHOOL,6,2014,All Students,110,264,82,74.5,25,22.7,3,2.7,0,0.0,3,2.7
6249,09X219,IS 219 NEW VENTURE SCHOOL,6,2015,All Students,91,260,70,76.9,19,20.9,2,2.2,0,0.0,2,2.2
6250,09X219,IS 219 NEW VENTURE SCHOOL,6,2016,All Students,118,263,81,68.6,34,28.8,3,2.5,0,0.0,3,2.5
6251,09X219,IS 219 NEW VENTURE SCHOOL,6,2017,All Students,103,262,80,77.7,20,19.4,3,2.9,0,0.0,3,2.9
6252,09X219,IS 219 NEW VENTURE SCHOOL,7,2013,All Students,137,267,104,75.9,26,19.0,6,4.4,1,0.7,7,5.1
6253,09X219,IS 219 NEW VENTURE SCHOOL,7,2014,All Students,115,272,92,80.0,18,15.7,3,2.6,2,1.7,5,4.3
6254,09X219,IS 219 NEW VENTURE SCHOOL,7,2015,All Students,94,272,68,72.3,25,26.6,1,1.1,0,0.0,1,1.1
6255,09X219,IS 219 NEW VENTURE SCHOOL,7,2016,All Students,78,267,62,79.5,14,17.9,2,2.6,0,0.0,2,2.6
6256,09X219,IS 219 NEW VENTURE SCHOOL,7,2017,All Students,101,280,63,62.4,32,31.7,5,5.0,1,1.0,6,5.9
6257,09X219,IS 219 NEW VENTURE SCHOOL,8,2013,All Students,131,269,85,64.9,40,30.5,5,3.8,1,0.8,6,4.6
6258,09X219,IS 219 NEW VENTURE SCHOOL,8,2014,All Students,98,264,73,74.5,25,25.5,0,0.0,0,0.0,0,0.0
6259,09X219,IS 219 NEW VENTURE SCHOOL,8,2015,All Students,108,254,88,81.5,20,18.5,0,0.0,0,0.0,0,0.0
6260,09X219,IS 219 NEW VENTURE SCHOOL,8,2016,All Students,95,271,62,65.3,29,30.5,3,3.2,1,1.1,4,4.2
6261,09X219,IS 219 NEW VENTURE SCHOOL,8,2017,All Students,89,262,69,77.5,19,21.3,1,1.1,0,0.0,1,1.1
6262,09X219,IS 219 NEW VENTURE SCHOOL,All Grades,2013,All Students,378,268,265,70.1,93,24.6,17,4.5,3,0.8,20,5.3
6263,09X219,IS 219 NEW VENTURE SCHOOL,All Grades,2014,All Students,323,267,247,76.5,68,21.1,6,1.9,2,0.6,8,2.5
6264,09X219,IS 219 NEW VENTURE SCHOOL,All Grades,2015,All Students,293,261,226,77.1,64,21.8,3,1.0,0,0.0,3,1.0
6265,09X219,IS 219 NEW VENTURE SCHOOL,All Grades,2016,All Students,291,267,205,70.4,77,26.5,8,2.7,1,0.3,9,3.1
6266,09X219,IS 219 NEW VENTURE SCHOOL,All Grades,2017,All Students,293,268,212,72.4,71,24.2,9,3.1,1,0.3,10,3.4
6267,09X229,IS 229 ROLAND PATTERSON,6,2013,All Students,65,264,49,75.4,12,18.5,4,6.2,0,0.0,4,6.2
6268,09X229,IS 229 ROLAND PATTERSON,6,2014,All Students,73,272,49,67.1,12,16.4,9,12.3,3,4.1,12,16.4
6269,09X229,IS 229 ROLAND PATTERSON,6,2015,All Students,80,261,60,75.0,17,21.3,2,2.5,1,1.3,3,3.8
6270,09X229,IS 229 ROLAND PATTERSON,6,2016,All Students,74,271,40,54.1,30,40.5,3,4.1,1,1.4,4,5.4
6271,09X229,IS 229 ROLAND PATTERSON,6,2017,All Students,70,266,46,65.7,23,32.9,1,1.4,0,0.0,1,1.4
6272,09X229,IS 229 ROLAND PATTERSON,7,2013,All Students,68,275,49,72.1,12,17.6,5,7.4,2,2.9,7,10.3
6273,09X229,IS 229 ROLAND PATTERSON,7,2014,All Students,68,271,49,72.1,16,23.5,3,4.4,0,0.0,3,4.4
6274,09X229,IS 229 ROLAND PATTERSON,7,2015,All Students,84,271,71,84.5,11,13.1,2,2.4,0,0.0,2,2.4
6275,09X229,IS 229 ROLAND PATTERSON,7,2016,All Students,87,267,68,78.2,13,14.9,6,6.9,0,0.0,6,6.9
6276,09X229,IS 229 ROLAND PATTERSON,7,2017,All Students,82,270,63,76.8,13,15.9,6,7.3,0,0.0,6,7.3
6277,09X229,IS 229 ROLAND PATTERSON,8,2013,All Students,76,282,36,47.4,31,40.8,7,9.2,2,2.6,9,11.8
6278,09X229,IS 229 ROLAND PATTERSON,8,2014,All Students,66,287,34,51.5,21,31.8,7,10.6,4,6.1,11,16.7
6279,09X229,IS 229 ROLAND PATTERSON,8,2015,All Students,68,273,41,60.3,22,32.4,3,4.4,2,2.9,5,7.4
6280,09X229,IS 229 ROLAND PATTERSON,8,2016,All Students,86,257,64,74.4,19,22.1,3,3.5,0,0.0,3,3.5
6281,09X229,IS 229 ROLAND PATTERSON,8,2017,All Students,80,281,39,48.8,31,38.8,7,8.8,3,3.8,10,12.5
6282,09X229,IS 229 ROLAND PATTERSON,All Grades,2013,All Students,209,274,134,64.1,55,26.3,16,7.7,4,1.9,20,9.6
6283,09X229,IS 229 ROLAND PATTERSON,All Grades,2014,All Students,207,276,132,63.8,49,23.7,19,9.2,7,3.4,26,12.6
6284,09X229,IS 229 ROLAND PATTERSON,All Grades,2015,All Students,232,268,172,74.1,50,21.6,7,3.0,3,1.3,10,4.3
6285,09X229,IS 229 ROLAND PATTERSON,All Grades,2016,All Students,247,265,172,69.6,62,25.1,12,4.9,1,0.4,13,5.3
6286,09X229,IS 229 ROLAND PATTERSON,All Grades,2017,All Students,232,273,148,63.8,67,28.9,14,6.0,3,1.3,17,7.3
6287,09X230,PS 230 DR ROLAND N PATTERSON,3,2013,All Students,79,280,40,50.6,32,40.5,7,8.9,0,0.0,7,8.9
6288,09X230,PS 230 DR ROLAND N PATTERSON,3,2014,All Students,54,282,24,44.4,23,42.6,6,11.1,1,1.9,7,13.0
6289,09X230,PS 230 DR ROLAND N PATTERSON,4,2013,All Students,53,283,23,43.4,22,41.5,6,11.3,2,3.8,8,15.1
6290,09X230,PS 230 DR ROLAND N PATTERSON,4,2014,All Students,72,276,48,66.7,11,15.3,10,13.9,3,4.2,13,18.1
6291,09X230,PS 230 DR ROLAND N PATTERSON,4,2015,All Students,75,274,41,54.7,27,36.0,6,8.0,1,1.3,7,9.3
6292,09X230,PS 230 DR ROLAND N PATTERSON,5,2013,All Students,56,279,42,75.0,11,19.6,3,5.4,0,0.0,3,5.4
6293,09X230,PS 230 DR ROLAND N PATTERSON,5,2014,All Students,64,268,52,81.3,8,12.5,4,6.3,0,0.0,4,6.3
6294,09X230,PS 230 DR ROLAND N PATTERSON,5,2015,All Students,79,285,51,64.6,9,11.4,17,21.5,2,2.5,19,24.1
6295,09X230,PS 230 DR ROLAND N PATTERSON,5,2016,All Students,75,279,46,61.3,17,22.7,12,16.0,0,0.0,12,16.0
6296,09X230,PS 230 DR ROLAND N PATTERSON,All Grades,2013,All Students,188,280,105,55.9,65,34.6,16,8.5,2,1.1,18,9.6
6297,09X230,PS 230 DR ROLAND N PATTERSON,All Grades,2014,All Students,190,275,124,65.3,42,22.1,20,10.5,4,2.1,24,12.6
6298,09X230,PS 230 DR ROLAND N PATTERSON,All Grades,2015,All Students,154,280,92,59.7,36,23.4,23,14.9,3,1.9,26,16.9
6299,09X230,PS 230 DR ROLAND N PATTERSON,All Grades,2016,All Students,75,279,46,61.3,17,22.7,12,16.0,0,0.0,12,16.0
6300,09X231,EAGLE ACADEMY FOR YOUNG MEN,6,2013,All Students,74,279,34,45.9,34,45.9,6,8.1,0,0.0,6,8.1
6301,09X231,EAGLE ACADEMY FOR YOUNG MEN,6,2014,All Students,82,274,49,59.8,29,35.4,4,4.9,0,0.0,4,4.9
6302,09X231,EAGLE ACADEMY FOR YOUNG MEN,6,2015,All Students,54,283,28,51.9,22,40.7,3,5.6,1,1.9,4,7.4
6303,09X231,EAGLE ACADEMY FOR YOUNG MEN,6,2016,All Students,55,277,29,52.7,18,32.7,5,9.1,3,5.5,8,14.5
6304,09X231,EAGLE ACADEMY FOR YOUNG MEN,6,2017,All Students,56,263,40,71.4,16,28.6,0,0.0,0,0.0,0,0.0
6305,09X231,EAGLE ACADEMY FOR YOUNG MEN,7,2013,All Students,69,280,47,68.1,19,27.5,2,2.9,1,1.4,3,4.3
6306,09X231,EAGLE ACADEMY FOR YOUNG MEN,7,2014,All Students,63,284,34,54.0,27,42.9,2,3.2,0,0.0,2,3.2
6307,09X231,EAGLE ACADEMY FOR YOUNG MEN,7,2015,All Students,81,277,57,70.4,23,28.4,1,1.2,0,0.0,1,1.2
6308,09X231,EAGLE ACADEMY FOR YOUNG MEN,7,2016,All Students,55,278,35,63.6,16,29.1,3,5.5,1,1.8,4,7.3
6309,09X231,EAGLE ACADEMY FOR YOUNG MEN,7,2017,All Students,47,284,28,59.6,15,31.9,4,8.5,0,0.0,4,8.5
6310,09X231,EAGLE ACADEMY FOR YOUNG MEN,8,2014,All Students,38,273,26,68.4,12,31.6,0,0.0,0,0.0,0,0.0
6311,09X231,EAGLE ACADEMY FOR YOUNG MEN,8,2015,All Students,40,270,30,75.0,10,25.0,0,0.0,0,0.0,0,0.0
6312,09X231,EAGLE ACADEMY FOR YOUNG MEN,8,2016,All Students,48,257,42,87.5,6,12.5,0,0.0,0,0.0,0,0.0
6313,09X231,EAGLE ACADEMY FOR YOUNG MEN,All Grades,2013,All Students,143,280,81,56.6,53,37.1,8,5.6,1,0.7,9,6.3
6314,09X231,EAGLE ACADEMY FOR YOUNG MEN,All Grades,2014,All Students,183,278,109,59.6,68,37.2,6,3.3,0,0.0,6,3.3
6315,09X231,EAGLE ACADEMY FOR YOUNG MEN,All Grades,2015,All Students,175,277,115,65.7,55,31.4,4,2.3,1,0.6,5,2.9
6316,09X231,EAGLE ACADEMY FOR YOUNG MEN,All Grades,2016,All Students,158,271,106,67.1,40,25.3,8,5.1,4,2.5,12,7.6
6317,09X231,EAGLE ACADEMY FOR YOUNG MEN,All Grades,2017,All Students,103,273,68,66.0,31,30.1,4,3.9,0,0.0,4,3.9
6318,09X232,IS 232,6,2013,All Students,162,289,57,35.2,81,50.0,20,12.3,4,2.5,24,14.8
6319,09X232,IS 232,6,2014,All Students,163,275,94,57.7,60,36.8,8,4.9,1,0.6,9,5.5
6320,09X232,IS 232,6,2015,All Students,160,276,92,57.5,55,34.4,11,6.9,2,1.3,13,8.1
6321,09X232,IS 232,6,2016,All Students,134,266,83,61.9,39,29.1,5,3.7,7,5.2,12,9.0
6322,09X232,IS 232,6,2017,All Students,134,272,84,62.7,35,26.1,13,9.7,2,1.5,15,11.2
6323,09X232,IS 232,7,2013,All Students,175,289,83,47.4,73,41.7,16,9.1,3,1.7,19,10.9
6324,09X232,IS 232,7,2014,All Students,150,285,85,56.7,56,37.3,9,6.0,0,0.0,9,6.0
6325,09X232,IS 232,7,2015,All Students,160,280,97,60.6,47,29.4,16,10.0,0,0.0,16,10.0
6326,09X232,IS 232,7,2016,All Students,150,279,85,56.7,62,41.3,2,1.3,1,0.7,3,2.0
6327,09X232,IS 232,7,2017,All Students,145,271,112,77.2,20,13.8,10,6.9,3,2.1,13,9.0
6328,09X232,IS 232,8,2013,All Students,168,288,77,45.8,66,39.3,24,14.3,1,0.6,25,14.9
6329,09X232,IS 232,8,2014,All Students,122,278,62,50.8,53,43.4,7,5.7,0,0.0,7,5.7
6330,09X232,IS 232,8,2015,All Students,135,280,64,47.4,67,49.6,4,3.0,0,0.0,4,3.0
6331,09X232,IS 232,8,2016,All Students,134,286,52,38.8,73,54.5,8,6.0,1,0.7,9,6.7
6332,09X232,IS 232,8,2017,All Students,179,288,74,41.3,81,45.3,21,11.7,3,1.7,24,13.4
6333,09X232,IS 232,All Grades,2013,All Students,505,289,217,43.0,220,43.6,60,11.9,8,1.6,68,13.5
6334,09X232,IS 232,All Grades,2014,All Students,435,279,241,55.4,169,38.9,24,5.5,1,0.2,25,5.7
6335,09X232,IS 232,All Grades,2015,All Students,455,279,253,55.6,169,37.1,31,6.8,2,0.4,33,7.3
6336,09X232,IS 232,All Grades,2016,All Students,418,277,220,52.6,174,41.6,15,3.6,9,2.2,24,5.7
6337,09X232,IS 232,All Grades,2017,All Students,458,278,270,59.0,136,29.7,44,9.6,8,1.7,52,11.4
6338,09X236,PS 236 LANGSTON HUGHES,3,2013,All Students,83,272,55,66.3,23,27.7,4,4.8,1,1.2,5,6.0
6339,09X236,PS 236 LANGSTON HUGHES,3,2014,All Students,79,281,37,46.8,28,35.4,13,16.5,1,1.3,14,17.7
6340,09X236,PS 236 LANGSTON HUGHES,3,2015,All Students,84,286,40,47.6,27,32.1,17,20.2,0,0.0,17,20.2
6341,09X236,PS 236 LANGSTON HUGHES,3,2016,All Students,23,282,10,43.5,9,39.1,3,13.0,1,4.3,4,17.4
6342,09X236,PS 236 LANGSTON HUGHES,3,2017,All Students,50,296,14,28.0,22,44.0,10,20.0,4,8.0,14,28.0
6343,09X236,PS 236 LANGSTON HUGHES,4,2014,All Students,66,274,39,59.1,15,22.7,9,13.6,3,4.5,12,18.2
6344,09X236,PS 236 LANGSTON HUGHES,4,2015,All Students,67,286,27,40.3,28,41.8,12,17.9,0,0.0,12,17.9
6345,09X236,PS 236 LANGSTON HUGHES,4,2016,All Students,73,296,23,31.5,26,35.6,16,21.9,8,11.0,24,32.9
6347,09X236,PS 236 LANGSTON HUGHES,5,2015,All Students,54,277,34,63.0,8,14.8,9,16.7,3,5.6,12,22.2
6348,09X236,PS 236 LANGSTON HUGHES,5,2016,All Students,59,287,34,57.6,18,30.5,7,11.9,0,0.0,7,11.9
6349,09X236,PS 236 LANGSTON HUGHES,5,2017,All Students,62,306,21,33.9,19,30.6,18,29.0,4,6.5,22,35.5
6350,09X236,PS 236 LANGSTON HUGHES,All Grades,2013,All Students,83,272,55,66.3,23,27.7,4,4.8,1,1.2,5,6.0
6351,09X236,PS 236 LANGSTON HUGHES,All Grades,2014,All Students,145,278,76,52.4,43,29.7,22,15.2,4,2.8,26,17.9
6352,09X236,PS 236 LANGSTON HUGHES,All Grades,2015,All Students,205,284,101,49.3,63,30.7,38,18.5,3,1.5,41,20.0
6353,09X236,PS 236 LANGSTON HUGHES,All Grades,2016,All Students,155,291,67,43.2,53,34.2,26,16.8,9,5.8,35,22.6
6354,09X236,PS 236 LANGSTON HUGHES,All Grades,2017,All Students,130,299,43,33.1,49,37.7,30,23.1,8,6.2,38,29.2
6355,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,6,2013,All Students,84,298,25,29.8,40,47.6,13,15.5,6,7.1,19,22.6
6356,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,6,2014,All Students,79,303,22,27.8,30,38.0,15,19.0,12,15.2,27,34.2
6357,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,6,2015,All Students,90,296,26,28.9,47,52.2,13,14.4,4,4.4,17,18.9
6358,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,6,2016,All Students,77,299,21,27.3,34,44.2,13,16.9,9,11.7,22,28.6
6359,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,6,2017,All Students,83,294,30,36.1,30,36.1,14,16.9,9,10.8,23,27.7
6360,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,7,2013,All Students,87,290,45,51.7,31,35.6,10,11.5,1,1.1,11,12.6
6361,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,7,2014,All Students,83,290,40,48.2,35,42.2,7,8.4,1,1.2,8,9.6
6362,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,7,2015,All Students,85,291,42,49.4,21,24.7,21,24.7,1,1.2,22,25.9
6363,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,7,2016,All Students,90,288,44,48.9,34,37.8,11,12.2,1,1.1,12,13.3
6364,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,7,2017,All Students,71,296,25,35.2,32,45.1,12,16.9,2,2.8,14,19.7
6365,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,8,2013,All Students,83,295,26,31.3,43,51.8,12,14.5,2,2.4,14,16.9
6366,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,8,2014,All Students,45,277,29,64.4,16,35.6,0,0.0,0,0.0,0,0.0
6367,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,8,2015,All Students,37,289,14,37.8,23,62.2,0,0.0,0,0.0,0,0.0
6368,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,8,2016,All Students,28,257,23,82.1,5,17.9,0,0.0,0,0.0,0,0.0
6369,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,8,2017,All Students,37,259,32,86.5,5,13.5,0,0.0,0,0.0,0,0.0
6370,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,All Grades,2013,All Students,254,294,96,37.8,114,44.9,35,13.8,9,3.5,44,17.3
6371,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,All Grades,2014,All Students,207,292,91,44.0,81,39.1,22,10.6,13,6.3,35,16.9
6372,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,All Grades,2015,All Students,212,293,82,38.7,91,42.9,34,16.0,5,2.4,39,18.4
6373,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,All Grades,2016,All Students,195,288,88,45.1,73,37.4,24,12.3,10,5.1,34,17.4
6374,09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE THE,All Grades,2017,All Students,191,288,87,45.5,67,35.1,26,13.6,11,5.8,37,19.4
6375,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,3,2015,All Students,102,275,66,64.7,29,28.4,5,4.9,2,2.0,7,6.9
6376,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,3,2016,All Students,101,272,64,63.4,20,19.8,14,13.9,3,3.0,17,16.8
6377,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,3,2017,All Students,108,282,58,53.7,30,27.8,13,12.0,7,6.5,20,18.5
6378,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,4,2016,All Students,107,278,61,57.0,27,25.2,14,13.1,5,4.7,19,17.8
6379,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,4,2017,All Students,104,272,61,58.7,28,26.9,11,10.6,4,3.8,15,14.4
6380,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,5,2017,All Students,99,276,64,64.6,24,24.2,10,10.1,1,1.0,11,11.1
6381,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,All Grades,2015,All Students,102,275,66,64.7,29,28.4,5,4.9,2,2.0,7,6.9
6382,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,All Grades,2016,All Students,208,275,125,60.1,47,22.6,28,13.5,8,3.8,36,17.3
6383,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,All Grades,2017,All Students,311,277,183,58.8,82,26.4,34,10.9,12,3.9,46,14.8
6384,09X294,THE WALTON AVENUE SCHOOL,3,2015,All Students,80,300,24,30.0,27,33.8,15,18.8,14,17.5,29,36.3
6385,09X294,THE WALTON AVENUE SCHOOL,3,2016,All Students,78,311,16,20.5,21,26.9,23,29.5,18,23.1,41,52.6
6386,09X294,THE WALTON AVENUE SCHOOL,3,2017,All Students,54,345,0,0.0,4,7.4,15,27.8,35,64.8,50,92.6
6387,09X294,THE WALTON AVENUE SCHOOL,4,2016,All Students,73,315,10,13.7,21,28.8,25,34.2,17,23.3,42,57.5
6388,09X294,THE WALTON AVENUE SCHOOL,4,2017,All Students,55,323,3,5.5,18,32.7,19,34.5,15,27.3,34,61.8
6389,09X294,THE WALTON AVENUE SCHOOL,5,2017,All Students,51,337,6,11.8,4,7.8,20,39.2,21,41.2,41,80.4
6390,09X294,THE WALTON AVENUE SCHOOL,All Grades,2015,All Students,80,300,24,30.0,27,33.8,15,18.8,14,17.5,29,36.3
6391,09X294,THE WALTON AVENUE SCHOOL,All Grades,2016,All Students,151,313,26,17.2,42,27.8,48,31.8,35,23.2,83,55.0
6392,09X294,THE WALTON AVENUE SCHOOL,All Grades,2017,All Students,160,335,9,5.6,26,16.3,54,33.8,71,44.4,125,78.1
6393,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,6,2013,All Students,100,282,47,47.0,48,48.0,5,5.0,0,0.0,5,5.0
6394,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,6,2014,All Students,95,286,38,40.0,45,47.4,10,10.5,2,2.1,12,12.6
6395,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,6,2015,All Students,84,284,38,45.2,33,39.3,10,11.9,3,3.6,13,15.5
6396,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,6,2016,All Students,123,284,50,40.7,58,47.2,11,8.9,4,3.3,15,12.2
6397,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,6,2017,All Students,87,286,41,47.1,28,32.2,12,13.8,6,6.9,18,20.7
6398,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,7,2013,All Students,113,288,64,56.6,33,29.2,16,14.2,0,0.0,16,14.2
6399,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,7,2014,All Students,95,282,59,62.1,30,31.6,6,6.3,0,0.0,6,6.3
6400,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,7,2015,All Students,96,292,37,38.5,51,53.1,7,7.3,1,1.0,8,8.3
6401,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,7,2016,All Students,77,286,44,57.1,24,31.2,8,10.4,1,1.3,9,11.7
6402,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,7,2017,All Students,115,292,51,44.3,46,40.0,17,14.8,1,0.9,18,15.7
6403,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,8,2013,All Students,104,292,43,41.3,48,46.2,12,11.5,1,1.0,13,12.5
6404,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,8,2014,All Students,109,300,34,31.2,46,42.2,25,22.9,4,3.7,29,26.6
6405,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,8,2015,All Students,92,288,40,43.5,34,37.0,14,15.2,4,4.3,18,19.6
6406,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,8,2016,All Students,85,298,26,30.6,39,45.9,17,20.0,3,3.5,20,23.5
6407,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,8,2017,All Students,71,291,25,35.2,31,43.7,15,21.1,0,0.0,15,21.1
6408,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,All Grades,2013,All Students,317,287,154,48.6,129,40.7,33,10.4,1,0.3,34,10.7
6409,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,All Grades,2014,All Students,299,290,131,43.8,121,40.5,41,13.7,6,2.0,47,15.7
6410,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,All Grades,2015,All Students,272,288,115,42.3,118,43.4,31,11.4,8,2.9,39,14.3
6411,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,All Grades,2016,All Students,285,289,120,42.1,121,42.5,36,12.6,8,2.8,44,15.4
6412,09X303,IS X303 LEADERSHIP & COMMUNITY SERVICE,All Grades,2017,All Students,273,290,117,42.9,105,38.5,44,16.1,7,2.6,51,18.7
6413,09X311,LUCERO ELEMENTARY SCHOOL,3,2015,All Students,77,271,53,68.8,17,22.1,5,6.5,2,2.6,7,9.1
6414,09X311,LUCERO ELEMENTARY SCHOOL,3,2016,All Students,67,266,47,70.1,17,25.4,3,4.5,0,0.0,3,4.5
6415,09X311,LUCERO ELEMENTARY SCHOOL,3,2017,All Students,72,284,31,43.1,26,36.1,12,16.7,3,4.2,15,20.8
6416,09X311,LUCERO ELEMENTARY SCHOOL,4,2016,All Students,79,269,48,60.8,26,32.9,4,5.1,1,1.3,5,6.3
6417,09X311,LUCERO ELEMENTARY SCHOOL,4,2017,All Students,55,277,26,47.3,23,41.8,5,9.1,1,1.8,6,10.9
6418,09X311,LUCERO ELEMENTARY SCHOOL,5,2017,All Students,63,299,19,30.2,29,46.0,13,20.6,2,3.2,15,23.8
6419,09X311,LUCERO ELEMENTARY SCHOOL,All Grades,2015,All Students,77,271,53,68.8,17,22.1,5,6.5,2,2.6,7,9.1
6420,09X311,LUCERO ELEMENTARY SCHOOL,All Grades,2016,All Students,146,268,95,65.1,43,29.5,7,4.8,1,0.7,8,5.5
6421,09X311,LUCERO ELEMENTARY SCHOOL,All Grades,2017,All Students,190,287,76,40.0,78,41.1,30,15.8,6,3.2,36,18.9
6422,09X313,IS 313 SCHOOL OF LEADERSHIP DEVELOPMENT,6,2013,All Students,123,268,84,68.3,33,26.8,4,3.3,2,1.6,6,4.9
